Timestamp,Company' name ,Please submit your slide here,Spreadsheet_Name
11/6/2024 16:08,SkinCheck,https://drive.google.com/open?id=1H79eOosD3w2IwtBI2191FcuVMtl6vWV6sDgb1yMc3gc,Product Demo  (Responses)
11/7/2024 0:41,The Parkour Company,https://drive.google.com/open?id=1P0tvSDVc7qwOjzORTINm1s_VtN_JETIWLvM25UUuEwU,Product Demo  (Responses)
11/7/2024 6:15,Littoral,https://drive.google.com/open?id=1ToAnsHpnZRArUqwhfAZdxa8dVHCMb2-pfv2dZAGtbiM,Product Demo  (Responses)
11/7/2024 6:58,Kathalyst,https://drive.google.com/open?id=1wrzFUtU8Hat1F4hmYwW_qjJhKP1KQgGS3QKU2wTT64Y,Product Demo  (Responses)
11/7/2024 9:09,Shifa Precision,https://drive.google.com/open?id=1YBg55rR9cVz5Nr_w6Bi9NQPIbCdpSGOv,Product Demo  (Responses)
11/7/2024 9:20,Datafend,https://drive.google.com/open?id=1rHG4sLjSJXs91WBBGiV84eD6fCQYBjnH,Product Demo  (Responses)
11/7/2024 9:23,Endurant Healthspan,https://drive.google.com/open?id=1nNeGxXoWQXl3pyWQO8swhau6HV4bbX2jv4z1tY16Bcg,Product Demo  (Responses)
11/7/2024 10:04,Aisle Ai,https://drive.google.com/open?id=1Mg34ISzNREYw6ff9oxiIEy0X71kPChaX,Product Demo  (Responses)
11/13/2024 22:49,The Parkour Company,https://drive.google.com/open?id=12kCDz4jh4PyB1hbWrte8iIh5SBuVrE74r4Hqy7-wWXU,Product Demo  (Responses)
10/30/2024 2:42,Kathalyst,https://drive.google.com/open?id=1Jci14JP0UhcD3QKHj3TyRjVAMBt9QjMWi1kRCIbycUo,Metrics and Features (Responses)
10/30/2024 7:52,"Markets EQ, Inc.",https://drive.google.com/open?id=1Vs7qqX6CGPZzLqQEm5-VxDXPt-e45y8M,Metrics and Features (Responses)
10/30/2024 20:32,Aisle Ai,https://drive.google.com/open?id=1uDl12jIrRqlUZPYwTBTegRs33dfyeIPsboOIVsRv_xY,Metrics and Features (Responses)
10/30/2024 21:28,Preloved Guru,https://drive.google.com/open?id=1SSRvTXbWBtxPXC-0jKryL7P9aWQKwepdAhbE0IGSIGE,Metrics and Features (Responses)
10/30/2024 21:57,SkinCheck,https://drive.google.com/open?id=1OErDG0CO349ues-ENW8EkU9rTZyjJ5C5,Metrics and Features (Responses)
10/30/2024 21:59,Endurant Healthspan,https://drive.google.com/open?id=1cm7Zsl77bTW3JtlUcblkgyjYIpS9E9617DZCVKq6ScQ,Metrics and Features (Responses)
10/31/2024 1:43,The Parkour Company,https://drive.google.com/open?id=1_0J4KJpGc4-kZ9PW95aOmK-Aq0PukAmGrgV7Fm5bR-E,Metrics and Features (Responses)
10/31/2024 3:58,Datafend,https://drive.google.com/open?id=1JEyBSSuaUtzMlqkShOvc1gv0tIAw6fQ0,Metrics and Features (Responses)
